,Combination,B_I,Ker Len,Duplicate Elem Vect,Duplicate
10810,"(2, 19, 25, 26)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,[-1 0 0 1 1],1
10811,"(2, 19, 25, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,[0 -1 0 1 0],1
10812,"(2, 19, 25, 28)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0], [1, 0, 1, 1, 1]])",1,[-1 1 0 0 1],1
10813,"(2, 19, 25, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10814,"(2, 19, 25, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10815,"(2, 19, 26, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[-1 0 0 0 1],1
10816,"(2, 19, 26, 28)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,[-1 0 0 0 1],1
10817,"(2, 19, 26, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,[-1 0 0 -1 1],1
10818,"(2, 19, 26, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,[-1 0 0 0 1],1
10819,"(2, 19, 27, 28)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,[-1 0 0 0 1],1
10820,"(2, 19, 27, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10822,"(2, 19, 28, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,[-1 -1 0 0 1],1
10823,"(2, 19, 28, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[-1 0 0 0 1],1
10824,"(2, 19, 29, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 1], [0, 1, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10825,"(2, 20, 21, 22)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1]])",1,[-2 -1 0 1 1],1
10826,"(2, 20, 21, 23)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0], [0, 1, 0, 1, 1]])",1,[-1 -1 0 1 0],1
10827,"(2, 20, 21, 24)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1]])",1,[0 1 0 -1 1],1
10828,"(2, 20, 21, 25)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0], [1, 1, 1, 1, 0]])",1,[0 1 0 -1 1],1
10829,"(2, 20, 21, 26)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,[-1 0 0 0 1],1
10830,"(2, 20, 21, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,[-1 0 0 0 1],1
10832,"(2, 20, 21, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,[-1 -1 0 1 0],1
10833,"(2, 20, 21, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,[-1 0 0 0 1],1
10834,"(2, 20, 22, 23)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1]])",1,[-1 -1 0 0 1],1
10835,"(2, 20, 22, 24)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1]])",1,[0 -1 0 -1 1],1
10836,"(2, 20, 22, 25)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 0, 1], [1, 1, 1, 1, 0]])",1,[-1 0 0 1 0],1
10837,"(2, 20, 22, 26)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 0, 1], [1, 1, 1, 0, 1]])",1,[0 -1 0 -1 1],1
10838,"(2, 20, 22, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[-1 0 0 1 0],1
10840,"(2, 20, 22, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,[-1 -1 0 0 1],1
10841,"(2, 20, 22, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,[-1 0 0 1 0],1
10842,"(2, 20, 23, 24)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
10843,"(2, 20, 23, 25)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 0, 1, 1], [1, 1, 1, 1, 0]])",1,[1 1 0 -2 1],1
10844,"(2, 20, 23, 26)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1]])",1,[-1 -1 0 -1 2],1
10845,"(2, 20, 23, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 0, 1, 1], [1, 1, 0, 1, 1]])",1,[0 0 0 -1 1],1
10848,"(2, 20, 23, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 0, 1, 1], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10849,"(2, 20, 24, 25)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0]])",1,[0 1 0 -1 1],1
10850,"(2, 20, 24, 26)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1]])",1,[0 -1 0 -1 1],1
10851,"(2, 20, 24, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1]])",1,[0 0 0 -1 1],1
10853,"(2, 20, 24, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10854,"(2, 20, 24, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10855,"(2, 20, 25, 26)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,[-2 1 0 1 1],1
10856,"(2, 20, 25, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,[-1 0 0 1 0],1
10858,"(2, 20, 25, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,[1 1 0 -2 1],1
10859,"(2, 20, 25, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,[-1 0 0 1 0],1
10860,"(2, 20, 26, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[-1 0 0 0 1],1
10862,"(2, 20, 26, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,[-1 -1 0 -1 2],1
10863,"(2, 20, 26, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,[-1 0 0 0 1],1
10865,"(2, 20, 27, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [1, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10869,"(2, 20, 29, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10870,"(2, 21, 22, 23)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1]])",1,[1 0 0 0 0],1
10871,"(2, 21, 22, 24)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1]])",1,[1 0 0 0 0],1
10872,"(2, 21, 22, 25)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 0]])",1,[0 -1 0 1 1],1
10873,"(2, 21, 22, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1], [1, 1, 1, 0, 1]])",1,[0 -1 0 1 1],1
10874,"(2, 21, 22, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[-1 -1 0 1 1],1
10875,"(2, 21, 22, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,[-2 -1 0 1 1],1
10876,"(2, 21, 22, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,[1 0 0 0 0],1
10877,"(2, 21, 22, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,[-1 -1 0 1 1],1
10878,"(2, 21, 23, 24)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1]])",1,[1 0 0 0 0],1
10879,"(2, 21, 23, 25)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 0]])",1,[0 -1 0 1 0],1
10880,"(2, 21, 23, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1]])",1,[1 -1 0 1 0],1
10881,"(2, 21, 23, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 0, 1, 1], [1, 1, 0, 1, 1]])",1,[0 -1 0 1 0],1
10882,"(2, 21, 23, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,[-1 -1 0 1 0],1
10884,"(2, 21, 23, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10885,"(2, 21, 24, 25)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0]])",1,[0 1 0 -1 1],1
10886,"(2, 21, 24, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1]])",1,[-2 1 0 -1 1],1
10887,"(2, 21, 24, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1]])",1,[-1 1 0 -1 1],1
10888,"(2, 21, 24, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1], [1, 0, 1, 1, 1]])",1,[0 1 0 -1 1],1
10889,"(2, 21, 24, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,[1 0 0 0 0],1
10890,"(2, 21, 24, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[-1 1 0 -1 1],1
10891,"(2, 21, 25, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,[0 -1 0 1 1],1
10892,"(2, 21, 25, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,[0 -1 0 1 0],1
10893,"(2, 21, 25, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 1, 0], [1, 0, 1, 1, 1]])",1,[0 1 0 -1 1],1
10894,"(2, 21, 25, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10895,"(2, 21, 25, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10896,"(2, 21, 26, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[-1 0 0 0 1],1
10897,"(2, 21, 26, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,[-1 0 0 0 1],1
10898,"(2, 21, 26, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,[1 -1 0 1 0],1
10899,"(2, 21, 26, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,[-1 0 0 0 1],1
10900,"(2, 21, 27, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,[-1 0 0 0 1],1
10901,"(2, 21, 27, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10903,"(2, 21, 28, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,[-1 -1 0 1 0],1
10904,"(2, 21, 28, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [1, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[-1 0 0 0 1],1
10905,"(2, 21, 29, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10906,"(2, 22, 23, 24)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1]])",1,[1 0 0 0 0],1
10907,"(2, 22, 23, 25)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1], [1, 1, 1, 1, 0]])",1,[1 -1 0 0 1],1
10908,"(2, 22, 23, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1]])",1,[0 -1 0 0 1],1
10909,"(2, 22, 23, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1], [1, 1, 0, 1, 1]])",1,[0 -1 0 0 1],1
10910,"(2, 22, 23, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,[-1 -1 0 0 1],1
10912,"(2, 22, 23, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1], [1, 1, 1, 1, 1]])",1,[0 -1 0 0 1],1
10913,"(2, 22, 24, 25)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0]])",1,[2 -1 0 -1 1],1
10914,"(2, 22, 24, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1]])",1,[0 -1 0 -1 1],1
10915,"(2, 22, 24, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1]])",1,[1 -1 0 -1 1],1
10916,"(2, 22, 24, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1], [1, 0, 1, 1, 1]])",1,[0 -1 0 -1 1],1
10917,"(2, 22, 24, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,[1 0 0 0 0],1
10918,"(2, 22, 24, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[1 -1 0 -1 1],1
10919,"(2, 22, 25, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,[0 -1 0 1 1],1
10920,"(2, 22, 25, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,[-1 0 0 1 0],1
10921,"(2, 22, 25, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 0], [1, 0, 1, 1, 1]])",1,[-1 0 0 1 0],1
10922,"(2, 22, 25, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,[1 -1 0 0 1],1
10923,"(2, 22, 25, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,[-1 0 0 1 0],1
10924,"(2, 22, 26, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[0 -1 0 0 1],1
10925,"(2, 22, 26, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,[0 -1 0 -1 1],1
10926,"(2, 22, 26, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,[0 -1 0 0 1],1
10927,"(2, 22, 26, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,[0 -1 0 0 1],1
10928,"(2, 22, 27, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,[-1 0 0 1 0],1
10929,"(2, 22, 27, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",1,[0 -1 0 0 1],1
10931,"(2, 22, 28, 29)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,[-1 -1 0 0 1],1
10932,"(2, 22, 28, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[-1 0 0 1 0],1
10933,"(2, 22, 29, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 -1 0 0 1],1
10934,"(2, 23, 24, 25)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0]])",1,[1 0 0 -1 1],1
10935,"(2, 23, 24, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1]])",1,[-1 0 0 -1 1],1
10936,"(2, 23, 24, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1]])",1,[0 0 0 -1 1],1
10937,"(2, 23, 24, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1], [1, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
10939,"(2, 23, 24, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10940,"(2, 23, 25, 26)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,[1 -2 0 1 1],1
10941,"(2, 23, 25, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,[0 -1 0 1 0],1
10942,"(2, 23, 25, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 0], [1, 0, 1, 1, 1]])",1,[1 1 0 -2 1],1
10944,"(2, 23, 25, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,[0 -1 0 1 0],1
10945,"(2, 23, 26, 27)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[0 -1 0 0 1],1
10946,"(2, 23, 26, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,[-1 -1 0 -1 2],1
10948,"(2, 23, 26, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,[0 -1 0 0 1],1
10949,"(2, 23, 27, 28)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
10953,"(2, 23, 28, 30)","Matrix([[0, 0, 1, 0, 0], [0, 1, 0, 1, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10955,"(2, 24, 25, 26)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,[-1 1 0 0 0],1
10956,"(2, 24, 25, 27)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,[-1 1 0 0 0],1
10957,"(2, 24, 25, 28)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0], [1, 0, 1, 1, 1]])",1,[0 1 0 -1 1],1
10958,"(2, 24, 25, 29)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,[1 0 0 -1 1],1
10959,"(2, 24, 25, 30)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,[-1 1 0 0 0],1
10960,"(2, 24, 26, 27)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[-1 1 0 0 0],1
10961,"(2, 24, 26, 28)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,[0 -1 0 -1 1],1
10962,"(2, 24, 26, 29)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,[-1 0 0 -1 1],1
10963,"(2, 24, 26, 30)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,[-1 1 0 0 0],1
10964,"(2, 24, 27, 28)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
10965,"(2, 24, 27, 29)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10967,"(2, 24, 28, 29)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10968,"(2, 24, 28, 30)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10969,"(2, 24, 29, 30)","Matrix([[0, 0, 1, 0, 0], [0, 0, 1, 1, 1], [0, 1, 1, 1, 1], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
10970,"(2, 25, 26, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,[-1 1 0 0 0],1
10971,"(2, 25, 26, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,[-2 1 0 1 1],1
10972,"(2, 25, 26, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,[1 -2 0 1 1],1
