,Combination,B_I,Ker Len,Duplicate Elem Vect,Duplicate
45,"(0, 1, 3, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
46,"(0, 1, 3, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 0, 1]])",1,[0 0 -1 0 1],1
47,"(0, 1, 3, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
48,"(0, 1, 3, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 0, 1, 1, 1]])",1,[0 0 -1 0 1],1
49,"(0, 1, 3, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
50,"(0, 1, 3, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 0, 1]])",1,[0 0 -1 0 1],1
51,"(0, 1, 3, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
52,"(0, 1, 3, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 1, 1]])",1,[0 0 -1 0 1],1
53,"(0, 1, 3, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 1, 1]])",1,[0 0 -1 0 1],1
54,"(0, 1, 3, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 1, 1]])",1,[0 0 -1 0 1],1
56,"(0, 1, 4, 6)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 0, 0]])",1,[0 0 0 1 0],1
57,"(0, 1, 4, 7)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 0, 1, 0]])",1,[0 0 1 0 0],1
59,"(0, 1, 4, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 1, 0, 0]])",1,[0 0 0 1 0],1
60,"(0, 1, 4, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 0, 1, 0]])",1,[0 0 1 0 0],1
63,"(0, 1, 4, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
64,"(0, 1, 4, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 1]])",1,[0 0 1 0 0],1
65,"(0, 1, 4, 15)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 1, 0, 0]])",1,[0 0 0 1 0],1
66,"(0, 1, 4, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 0, 1, 0]])",1,[0 0 1 0 0],1
68,"(0, 1, 4, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 1, 0]])",1,[0 0 -1 1 0],1
69,"(0, 1, 4, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
70,"(0, 1, 4, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1]])",1,[0 0 1 0 0],1
71,"(0, 1, 4, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 1, 1, 0]])",1,[0 0 -1 1 0],1
72,"(0, 1, 4, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
