,Combination,B_I,Ker Len,Elementary Vector,Duplicate,Group
30,"(0, 1, 3, 6)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 0, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
31,"(0, 1, 3, 7)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 0, 1, 0]])",2,,0,
32,"(0, 1, 3, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 0, 0, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
33,"(0, 1, 3, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 0, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
34,"(0, 1, 3, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 0, 1, 0]])",2,,0,
35,"(0, 1, 3, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 0, 0, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
36,"(0, 1, 3, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 0, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
37,"(0, 1, 3, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 0, 1, 0, 1]])",1,"(0, 0, -1, 0, 1)",0,364.0
38,"(0, 1, 3, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
39,"(0, 1, 3, 15)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 0, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
40,"(0, 1, 3, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 0, 1, 0]])",2,,0,
41,"(0, 1, 3, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 0, 0, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
42,"(0, 1, 3, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
43,"(0, 1, 3, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 0, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
44,"(0, 1, 3, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
45,"(0, 1, 3, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
46,"(0, 1, 3, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 0, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
47,"(0, 1, 3, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
48,"(0, 1, 3, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 0, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
49,"(0, 1, 3, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
50,"(0, 1, 3, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 0, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
51,"(0, 1, 3, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
52,"(0, 1, 3, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
