,Combination,B_I,Ker Len,Elementary Vector,Duplicate,Group
8594,"(2, 5, 16, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [1, 1, 1, 0, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8595,"(2, 5, 16, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [1, 1, 0, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8596,"(2, 5, 16, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [1, 0, 1, 1, 1]])",1,"(-1, 1, 0, 0, 1)",1,289.0
8597,"(2, 5, 16, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [0, 1, 1, 1, 1]])",1,"(1, -1, 0, 0, 1)",1,469.0
8598,"(2, 5, 16, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 0], [1, 1, 1, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8599,"(2, 5, 17, 18)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [1, 0, 1, 1, 0]])",1,"(-1, 1, 0, 1, 0)",1,290.0
8600,"(2, 5, 17, 19)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [1, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
8601,"(2, 5, 17, 20)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [1, 0, 0, 1, 1]])",1,"(-1, 1, 0, 1, 0)",1,290.0
8602,"(2, 5, 17, 21)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [0, 1, 1, 1, 0]])",1,"(1, -1, 0, 1, 0)",1,470.0
8603,"(2, 5, 17, 22)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [0, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
8604,"(2, 5, 17, 23)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [0, 1, 0, 1, 1]])",1,"(1, -1, 0, 1, 0)",1,470.0
8605,"(2, 5, 17, 24)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [0, 0, 1, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8606,"(2, 5, 17, 25)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [1, 1, 1, 1, 0]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8607,"(2, 5, 17, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [1, 1, 1, 0, 1]])",2,,0,
8608,"(2, 5, 17, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [1, 1, 0, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8609,"(2, 5, 17, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [1, 0, 1, 1, 1]])",1,"(-1, 1, 0, 1, 0)",1,290.0
8610,"(2, 5, 17, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [0, 1, 1, 1, 1]])",1,"(1, -1, 0, 1, 0)",1,470.0
8611,"(2, 5, 17, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 0, 1], [1, 1, 1, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8612,"(2, 5, 18, 19)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [1, 0, 1, 0, 1]])",1,"(-1, 1, 0, 1, 1)",1,291.0
8613,"(2, 5, 18, 20)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [1, 0, 0, 1, 1]])",1,"(-1, 1, 0, 1, 0)",1,290.0
8614,"(2, 5, 18, 21)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [0, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8615,"(2, 5, 18, 22)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [0, 1, 1, 0, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
8616,"(2, 5, 18, 23)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [0, 1, 0, 1, 1]])",1,"(1, -1, 0, -1, 2)",1,468.0
8617,"(2, 5, 18, 24)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [0, 0, 1, 1, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
8618,"(2, 5, 18, 25)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [1, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8619,"(2, 5, 18, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [1, 1, 1, 0, 1]])",1,"(-1, 1, 0, 1, 0)",1,290.0
8620,"(2, 5, 18, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [1, 1, 0, 1, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
8621,"(2, 5, 18, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]])",1,"(-1, 1, 0, 1, 0)",1,290.0
8622,"(2, 5, 18, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [0, 1, 1, 1, 1]])",1,"(1, -1, 0, -1, 2)",1,468.0
8623,"(2, 5, 18, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 0], [1, 1, 1, 1, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
8624,"(2, 5, 19, 20)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [1, 0, 0, 1, 1]])",1,"(-1, 1, 0, 0, 1)",1,289.0
8625,"(2, 5, 19, 21)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [0, 1, 1, 1, 0]])",1,"(-1, 1, 0, -1, 1)",1,286.0
8626,"(2, 5, 19, 22)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [0, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
8627,"(2, 5, 19, 23)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [0, 1, 0, 1, 1]])",1,"(-1, 1, 0, -2, 1)",1,285.0
8628,"(2, 5, 19, 24)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [0, 0, 1, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
8629,"(2, 5, 19, 25)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 1, 0]])",1,"(-1, 1, 0, 0, 1)",1,289.0
8630,"(2, 5, 19, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
8631,"(2, 5, 19, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [1, 1, 0, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
8632,"(2, 5, 19, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 1]])",1,"(-1, 1, 0, 0, 1)",1,289.0
8633,"(2, 5, 19, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [0, 1, 1, 1, 1]])",1,"(-1, 1, 0, -2, 1)",1,285.0
8634,"(2, 5, 19, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 0, 1], [1, 1, 1, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
8635,"(2, 5, 20, 21)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 0]])",1,"(-1, 1, 0, -1, 2)",1,287.0
8636,"(2, 5, 20, 22)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 0, 1]])",1,"(1, -1, 0, -2, 1)",1,466.0
8637,"(2, 5, 20, 23)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [0, 1, 0, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8638,"(2, 5, 20, 24)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [0, 0, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8639,"(2, 5, 20, 25)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 0]])",1,"(-1, 1, 0, 0, 1)",1,289.0
8640,"(2, 5, 20, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1]])",1,"(-1, 1, 0, 1, 0)",1,290.0
8641,"(2, 5, 20, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [1, 1, 0, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8642,"(2, 5, 20, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [1, 0, 1, 1, 1]])",2,,0,
8643,"(2, 5, 20, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8644,"(2, 5, 20, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8645,"(2, 5, 21, 22)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 0, 1]])",1,"(1, -1, 0, 1, 1)",1,471.0
8646,"(2, 5, 21, 23)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [0, 1, 0, 1, 1]])",1,"(1, -1, 0, 1, 0)",1,470.0
8647,"(2, 5, 21, 24)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
8648,"(2, 5, 21, 25)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8649,"(2, 5, 21, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,"(1, -1, 0, 1, 0)",1,470.0
8650,"(2, 5, 21, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
8651,"(2, 5, 21, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [1, 0, 1, 1, 1]])",1,"(-1, 1, 0, -1, 2)",1,287.0
8652,"(2, 5, 21, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,"(1, -1, 0, 1, 0)",1,470.0
8653,"(2, 5, 21, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
8654,"(2, 5, 22, 23)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1], [0, 1, 0, 1, 1]])",1,"(1, -1, 0, 0, 1)",1,469.0
8655,"(2, 5, 22, 24)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1, 1, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
8656,"(2, 5, 22, 25)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 0]])",1,"(1, -1, 0, 0, 1)",1,469.0
8657,"(2, 5, 22, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
8658,"(2, 5, 22, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
8659,"(2, 5, 22, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,"(1, -1, 0, -2, 1)",1,466.0
8660,"(2, 5, 22, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,"(1, -1, 0, 0, 1)",1,469.0
8661,"(2, 5, 22, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
8662,"(2, 5, 23, 24)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8663,"(2, 5, 23, 25)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 0]])",1,"(1, -1, 0, 0, 1)",1,469.0
8664,"(2, 5, 23, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1]])",1,"(1, -1, 0, 1, 0)",1,470.0
8665,"(2, 5, 23, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 1], [1, 1, 0, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8666,"(2, 5, 23, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8667,"(2, 5, 23, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",2,,0,
8668,"(2, 5, 23, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8669,"(2, 5, 24, 25)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8670,"(2, 5, 24, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8671,"(2, 5, 24, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1]])",2,,0,
8672,"(2, 5, 24, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 0, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8673,"(2, 5, 24, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8674,"(2, 5, 24, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",2,,0,
8675,"(2, 5, 25, 26)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8676,"(2, 5, 25, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8677,"(2, 5, 25, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 1, 0], [1, 0, 1, 1, 1]])",1,"(-1, 1, 0, 0, 1)",1,289.0
8678,"(2, 5, 25, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,"(1, -1, 0, 0, 1)",1,469.0
8679,"(2, 5, 25, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8680,"(2, 5, 26, 27)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8681,"(2, 5, 26, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",1,"(-1, 1, 0, 1, 0)",1,290.0
8682,"(2, 5, 26, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,"(1, -1, 0, 1, 0)",1,470.0
8683,"(2, 5, 26, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,"(-1, 1, 0, 0, 0)",1,288.0
8684,"(2, 5, 27, 28)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8685,"(2, 5, 27, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8686,"(2, 5, 27, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 1, 0, 1, 1], [1, 1, 1, 1, 1]])",2,,0,
8687,"(2, 5, 28, 29)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8688,"(2, 5, 28, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [1, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8689,"(2, 5, 29, 30)","Matrix([[0, 0, 1, 0, 0], [1, 1, 0, 0, 0], [0, 1, 1, 1, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, 0, -1, 1)",1,367.0
8690,"(2, 6, 7, 8)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 0, 0, 0, 1]])",1,"(0, 1, 0, 0, 0)",1,381.0
8691,"(2, 6, 7, 9)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 0, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8692,"(2, 6, 7, 10)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 1, 0, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8693,"(2, 6, 7, 11)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 1, 0, 0, 1]])",1,"(0, -1, 0, 0, 1)",1,352.0
8694,"(2, 6, 7, 12)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 0]])",2,,0,
8695,"(2, 6, 7, 13)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 0, 1]])",1,"(0, 1, 0, 0, 0)",1,381.0
8696,"(2, 6, 7, 14)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 0, 0, 1, 1]])",1,"(0, 1, 0, 0, 0)",1,381.0
8697,"(2, 6, 7, 15)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 0, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8698,"(2, 6, 7, 16)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 1, 0, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8699,"(2, 6, 7, 17)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 1, 0, 0, 1]])",1,"(0, -1, 0, 0, 1)",1,352.0
8700,"(2, 6, 7, 18)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 0, 1, 1, 0]])",2,,0,
8701,"(2, 6, 7, 19)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 0, 1, 0, 1]])",1,"(0, 1, 0, 0, 0)",1,381.0
8702,"(2, 6, 7, 20)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1]])",1,"(0, 1, 0, 0, 0)",1,381.0
8703,"(2, 6, 7, 21)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8704,"(2, 6, 7, 22)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 0, 1]])",1,"(0, -1, 0, 0, 1)",1,352.0
8705,"(2, 6, 7, 23)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 1, 0, 1, 1]])",1,"(0, -1, 0, 0, 1)",1,352.0
8706,"(2, 6, 7, 24)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 1]])",1,"(0, 1, 0, 0, 0)",1,381.0
8707,"(2, 6, 7, 25)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 0]])",1,"(0, 0, 0, 0, 1)",1,368.0
8708,"(2, 6, 7, 26)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 0, 1]])",1,"(0, -1, 0, 0, 1)",1,352.0
8709,"(2, 6, 7, 27)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 1, 0, 1, 1]])",1,"(0, -1, 0, 0, 1)",1,352.0
8710,"(2, 6, 7, 28)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 0, 1, 1, 1]])",1,"(0, 1, 0, 0, 0)",1,381.0
8711,"(2, 6, 7, 29)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 1, 1]])",1,"(0, -1, 0, 0, 1)",1,352.0
8712,"(2, 6, 7, 30)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 1]])",1,"(0, -1, 0, 0, 1)",1,352.0
8713,"(2, 6, 8, 9)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0]])",1,"(0, 0, 0, 1, 0)",1,369.0
8714,"(2, 6, 8, 10)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0]])",1,"(0, -1, 0, 1, 0)",1,353.0
8715,"(2, 6, 8, 11)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
8716,"(2, 6, 8, 12)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0]])",1,"(0, 1, 0, 0, 0)",1,381.0
8717,"(2, 6, 8, 13)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1]])",2,,0,
8718,"(2, 6, 8, 14)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1]])",1,"(0, 1, 0, 0, 0)",1,381.0
8719,"(2, 6, 8, 15)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [1, 1, 1, 0, 0]])",1,"(0, 0, 0, 1, 0)",1,369.0
8720,"(2, 6, 8, 16)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [1, 1, 0, 1, 0]])",1,"(0, -1, 0, 1, 0)",1,353.0
8721,"(2, 6, 8, 17)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [1, 1, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
8722,"(2, 6, 8, 18)","Matrix([[0, 0, 1, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1], [1, 0, 1, 1, 0]])",1,"(0, 1, 0, 0, 0)",1,381.0
